skenario,produk,s,kerugian_output_rp,pct_output,kerugian_ntb_rp,pct_pdb,kerugian_komp_tk_rp,pct_komp_tk,kerugian_surplus_rp,pct_surplus,pi_maks_pct,indeks_harga_bawah_pct,indeks_harga_atas_pct
Garam (50),50,0.6,24204368.884094663,0.08433504391248275,13307407.49658891,0.08842588364698387,3148625.342852317,0.05418572270951807,10085484.180536889,0.11034090787089251,122.27473268967626,0.006720140294310544,0.02590691082575768
Garam (50),50,0.7,29867354.384458456,0.10406652846950294,16420880.851231191,0.1091144837868799,3900563.596512536,0.06712607390119141,12429870.089925926,0.13598981723519668,159.26275350420283,0.008015194842086217,0.030899494494304167
Garam (50),50,0.8,36687000.40291429,0.1278281538681308,20170278.83928501,0.13402871522699075,4815436.907620197,0.08287042775470849,15243742.865829851,0.16677517876752715,171.8281828459045,0.008413384745738467,0.03243456219733557
Garam (50),50,0.9,45867149.71226482,0.1598144576149712,25217466.614730503,0.16756658044156567,6065632.800329678,0.10438545752118004,19012934.54683122,0.20801227007383336,171.8281828459045,0.008413384745738467,0.03243456219733557
Garam (50),50,1.0,78600193.93715665,0.27386588094745556,43213887.94041147,0.2871503129315097,10812637.288380532,0.18607820939916236,32163226.06506419,0.35188390567551453,171.8281828459045,0.008413384745738467,0.03243456219733557
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.1,144516329.1629585,0.5035368211578465,71551948.69131576,0.47545281012211127,18459382.09931443,0.31767354032550205,52721368.87823564,0.5768016291619487,34.625161461981,0.10763010932527557,0.17580080976237517
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.2,295380017.61151075,1.029189683706494,146307315.04962254,0.9721918879088033,37928897.011485666,0.65273078640739,107619892.04177094,1.1774225590252525,87.61494044278315,0.22597076590433757,0.3637981841989172
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.3,453873409.91374296,1.581426648184036,224913585.14022467,1.4945196887773555,58614586.55033798,1.0087175791682088,165133758.95451668,1.8066568304512003,171.8281828459045,0.3564283127037595,0.5655018812001534
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.4,621773922.2582839,2.16644074829594,308268286.7775308,2.048400161010495,80802607.61760914,1.390558486265453,225869830.08382094,2.471143840589149,171.8281828459045,0.37950660459693386,0.6631272390578309
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.5,801668792.514008,2.793246671445477,397677989.3677701,2.642515277736462,104910454.7763447,1.8054383081001206,290710616.2857584,3.1805387579289874,171.8281828459045,0.39525817322376744,0.752500298362311
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.6,997827249.9024422,3.476719650926026,495286762.516921,3.291112085163009,131611967.10208148,2.264953361579449,361115508.98581606,3.9508081510503383,171.8281828459045,0.41142817578156426,0.844152159662567
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.7,1217395013.374695,4.241757444841251,604691644.6055593,4.018092406195616,162050464.49193388,2.7887794125273886,439520096.8763742,4.808598739407281,171.8281828459045,0.42804065725669477,0.9382090657706942
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.8,1474165815.5060878,5.136421419634013,732860602.1021369,4.869757415000125,198475655.4436921,3.4156324298397736,530607675.5339686,5.805148428537354,171.8281828459045,0.4441623572198638,1.0311283831692506
BUNDEL hasil saringan,7 9 23 50 57 61 65,0.9,1805701134.6189208,6.291586663966951,898746674.3728986,5.972047438735367,247016942.06078443,4.2509952978189425,647106704.4449055,7.079713772749299,171.8281828459045,0.4603144716387497,1.124948857913383
BUNDEL hasil saringan,7 9 23 50 57 61 65,1.0,2761027225.8245187,9.620219946593362,1379105974.9940546,9.163968602670629,399303919.62264305,6.871751672396758,972714861.516957,10.642051387718,171.8281828459045,0.4769196575263715,1.2213346818299866
